Constructor,AUS,BAH,CHI,AZE,SPA,MON,CAN,FRE,AUS,BRI,GER,HUN,BEL,ITA,SIN,RUS,JAP,UNI,MEX,BRA,ABU
Mercedes,21.66,24.3,22.1,20.19,22.09,23.74,23.34,24.31,20.98,27.89,18.98,21.34,22.38,23.73,28.54,29.55,,,,,
Red Bull,20.95,30.38,22.6,19.77,21.62,24.11,23.14,24.31,21.21,28,19.09,21.36,22.34,24,28.78,29.37,,,,,
Ferrari,21.42,24.52,22.91,20.04,22.05,23.96,23.53,24.29,21.55,28.17,18.66,21.83,22.25,23.86,28.72,29.53,,,,,
Force India,21.85,24.6,22.33,26.17,22.24,24.66,23.72,,22.53,28.65,19.57,22.26,23.16,24.83,24.34,29.92,,,,,
Williams,21.4,24.64,22.66,19.74,21.35,24.85,23.53,26.27,22.18,27.77,19.48,21.29,22.34,25.25,28.77,29.27,,,,,
McLaren,22.47,24.58,23.73,20.76,21.72,24.24,23.1,24.4,21.59,28.09,18.96,21.73,22.71,24.09,29.92,29.64,,,,,
Toro Rosso,22.21,24.84,23.17,20.78,22.47,24.3,24.11,24.3,22.01,28.68,19.31,21.68,22.95,27.79,28.93,29.42,,,,,
Haas,21.98,24.63,22.97,21.73,22.92,24.24,24.01,25.42,22.12,28.45,19.75,21.73,23.25,24.78,29.32,29.9,,,,,
Renault,22.63,24.38,23.12,20.97,22.41,24.87,24.42,25.02,23.26,28.08,19.58,21.91,23.86,24.46,30.24,30.02,,,,,
Sauber,22.24,25.14,22.79,21.06,22,23.87,23.53,24.3,21.36,27.87,18.84,22.64,22.56,24.08,28.86,30.05,,,,,
