TEL_TRIPSTART, TEL_STARTODO, TEL_TRIPEND, TEL_ENDODO, TEL_SOC_START, TEL_SOC_END, TEL_AVG_VELOCITY, AC_ON_DURATION, AC_ON_PCT, HEADLAMP_ON_DURATION, HEADLAMP_ON_PCT, TRIPSTART_LOCN, TRIPEND_LOCN, TEMPERATURE, CHARGE_TYPE, CONNECT_START, CHARGE_START, CONNECT_END, CHARGE_END, CHARGE_AMOUNT, FULLCHARGEFLAG, CHARGING_OCCURRENCES, UNACCOUNTED_KM, FULLCHARGE_KMSPAN, FULLCHARGE_EFFICIENCY, FULLCHARGE_AMOUNT, TRIP_ID, CALENDAR_KEY, VEHICLE_ID, RECSTARTDATE, RECENDDATE, START_DATE, START_ODO_ACTUAL, START_BAT_EST, START_BAT_ACTUAL, END_DATE, END_ODO_EST, END_ODO_ACTUAL, END_BAT_EST, END_BAT_ACTUAL, TRIP_DISTANCE, DISTANCE_GPS, TEL_DISTANCE, CALC_DISTANCE, NO_PASSENGERS, ACCESSORIES, LOG_AVG_VELOCITY, GPS_AVG_VELOCITY, START_ALTITUDE, END_ALTITUDE
01:51.8,9681,04:50.8,9682,86,86,20,0,0,2.98,,Other,Other,,,,,,,,1,0,0,9,0,0,15809,270742,9,01:51.8,04:50.8,,,,,,,,,,,,1,1,,,,,,
57:29.2,17784,12:46.2,17785,79,77,4,15.28,,0,0,Other,Other,,,,,,,,0,0,0,,,,18751,270747,10,57:29.2,12:46.2,,,,,,,,,,,,1,1,,,,,,
54:51.9,9776,04:31.9,9782,78,74,36,0,0,9.67,,Home,Other,,,,,,,,0,0,0,,,,8529,270747,7,54:53.0,02:44.0,54:53.0,9776,13,13,02:44.0,9781,9782,13,12,5,,6,6,1,[NONE],37.5,0,,
01:26.8,12362,34:27.9,12393,97,69,56.36,0,0,0,0,Home,Work,,,,,,,,0,0,0,,,,12108,270748,8,02:06.0,30:26.0,02:06.0,12362,2,16,30:26.0,12393,12393,11,11,31,,31,31,1,[NONE],66.43,0,,
07:59.3,25665,44:42.4,25699,103,78,55.14,0,0,0,0,Home,Work,,,,,,,,0,0,0,,,,39702,270748,17,07:46.0,43:18.0,07:46.0,25665,4,16,43:18.0,25698,25699,11,13,33,,34,34,1,[NONE],55,0,,
24:32.0,14008,50:53.0,14025,101,86,39.23,23.32,,0,0,Home,Work,,,,,,,,1,0,0,17,0,0,23967,270750,12,25:12.0,50:17.0,25:12.0,14005,15,16,50:17.0,14024,14025,14,15,16,,17,17,1,Air Con,38.4,0,,
10:20.6,19743,56:29.7,19766,102,75,30,0,0,0,0,Home,Other,,,,,,,,0,0,0,,,,61141,270755,24,10:20.6,56:29.7,,,,,,,,,,,,23,23,,,,,,
,,,,,,,,,,,Other,Other,,,,,,,,1,0,0,44,0,0,676,270755,18,14:20.0,54:57.0,14:20.0,17363,14,14,54:57.0,17384,17385,11,11,21,,,22,1,Headlights,31.5,0,,
49:52.0,9782,03:07.9,9787,74,69,21.43,0,0,0,0,Other,Work,,,,,,,,0,0,0,,,,8530,270758,7,49:54.0,59:08.0,49:54.0,9782,12,12,59:08.0,9787,9787,12,11,5,,5,5,1,[NONE],30,0,,
19:26.2,17785,36:15.3,17803,77,56,63.53,16.82,,0,0,Other,Other,,,,,,,,1,0,0,34,0,0,18753,270761,10,19:26.2,36:15.3,,,,,,,,,,,,18,18,,,,,,
19:57.8,20401,36:22.8,20409,77,70,28.24,0,0,0,0,Other,Work,,,,,,,,1,0,0,27,0,0,36241,270761,16,19:01.0,34:25.0,19:01.0,20400,12,13,34:25.0,20409,20409,12,11,8,,8,8,1,[NONE],32,0,,
32:09.5,18657,51:38.5,18664,91,84,22.11,0,0,0,0,Other,Work,,,,,,,,1,0,0,11,0,0,30717,270763,14,32:09.5,51:38.5,,,,,,,,,,,,7,7,,,,,,
37:58.8,9682,57:55.9,9696,102,91,42,0,0,0,0,Other,Other,,,,,,,,1,0,0,14,0,0,15811,270769,9,38:00.0,57:04.0,38:00.0,9681,15,16,57:04.0,9696,9696,14,16,14,,14,14,1,[NONE],44.21,0,,
31:58.0,14025,54:56.1,14037,101,92,31.3,22.97,,0,0,Work,Other,,,,,,,,0,0,0,,,,23969,270769,12,31:58.0,54:56.1,,,,,,,,,,,,12,12,,,,,,
